MULakeNumber,waterBody,AlternativeNames1,AlternativeNames2,samplingSite,Latitude_samplingSite,Longitude_samplingSite,Notes
450,Marion,Marion,NA,Marion 1,38.37,-90.76,NA
451,Serene,Serene,NA,Serene 1,38.41,-90.78,NA
453,Lafayette_Park,Lafayette Park,NA,Lafayette Park 1,38.62,-90.22,NA
454,Cedar_Hill_Lake_1,Cedar Hill (Lake 1),NA,Cedar Hill (Lake 1) 1,38.33377393852189,-90.65446725,NA
455,West_Arrowhead,West Arrowhead,NA,West Arrowhead 1,39.476677545326154,-94.31687956,NA
456,Timberland,Timberland,NA,Timberland 1,37.92,-93.97,NA
457,OFallon_Park,OFallon Park,NA,OFallon Park 1,38.68,-90.22,NA
458,Crystal_Morgan,Crystal (Morgan),NA,Crystal (Morgan) 1,38.39,-92.95,NA
459,Fon_du_Lac,Fon du Lac,NA,Fon du Lac 1,38.49,-90.47,NA
460,Houston,Houston,NA,Houston 1,39.19,-94.62,NA
461,See_Tal,See Tal,NA,See Tal 1,38.69,-91.44,NA
462,Tilles_Park,Tilles Park,NA,Tilles Park 1,38.62,-90.36,NA
469,Lakeview_KS,Lakeview (KS),NA,Lakeview (KS) 1,39.01,-95.3,NA
470,WestArrowhead_Howell,NA,NA,WestArrowhead_Howell 1,36.65681998466074,-91.8887454,NA
ACT,Acton,NA,NA,NA,39.56965,-84.746,ThinIce Gradient
BAR,Barco,NA,NA,NA,29.67598,-82.01732,ThinIce Gradient
CHA,Chautauqua,NA,NA,NA,42.2117746,-79.4604498,ThinIce Gradient
CRA,Crampton,NA,NA,NA,46.209675,-89.473688,ThinIce Gradient
ELA239,239,NA,NA,NA,49.6629,-93.72355,ThinIce Gradient
GL4,Green Lake 4,NA,NA,NA,40.05547,-105.619904,ThinIce Gradient
GRP,Great Pond,NA,NA,NA,44.545252,-69.853075,ThinIce Gradient
LIR,Little Rock,NA,NA,NA,45.998269,-89.704767,ThinIce Gradient
LOC,The Loch,NA,NA,NA,40.292599,-105.654749,ThinIce Gradient
MHK,Mohonk,NA,NA,NA,41.766,-74.158,ThinIce Gradient
OST,Otsego,NA,NA,NA,42.79164,-74.8973,ThinIce Gradient
PRL,Prairie Lake,NA,NA,NA,47.159599300000004,-99.1187311,ThinIce Gradient
PRP,Prairie Pothole,NA,NA,NA,47.1307778,-99.2533056,ThinIce Gradient
SAL,Salmon,NA,NA,NA,44.52156884,-69.78319534,ThinIce Gradient
SHL,Shelburne,NA,NA,NA,44.387277,-73.1610697,ThinIce Gradient
SUG,Suggs,NA,NA,NA,29.68815,-82.01732,ThinIce Gradient
