MULakeNumber,waterBody,AlternativeNames1,AlternativeNames2,samplingSite,Latitude_samplingSite,Longitude_samplingSite,Notes
099,Taneycomo,Taneycomo,NA,Taneycomo 3.2,36.7,-93.19,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 3.5,36.7,-93.16,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 4,36.67,-93.2,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 5,36.67,-93.2,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 6,36.65,-93.21,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 6.1,36.65,-93.21,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 6.7,36.63,-93.22,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 7,36.64,-93.23,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 7.5,36.63,-93.22,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 8,36.61,-93.26,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 9,36.61,-93.27,NA
099,Taneycomo,Taneycomo,NA,Taneycomo 9.5,36.63,-93.26,NA
099,Taneycomo,Taneycomo,NA,Taneycomo STP,36.66,-93.21,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 1,36.6,-93.09,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 10,36.59,-92.65,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 15,36.56,-92.65,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 2,36.54,-93.06,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 4,36.51,-92.62,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 5,36.64,-93.04,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 6,36.62,-93.04,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 7,36.5,-92.93,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 8,36.5,-92.87,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals 9,36.52,-92.75,NA
100,Bull_Shoals,Bull Shoals,NA,Bull Shoals Big,36.56,-92.79,NA
101,Norfork,Norfork,NA,Norfork 1,36.5,-92.26,NA
102,Noblett,Noblett,NA,Noblett 1,36.91,-92.1,NA
104,Sims_Valley,Sims Valley,NA,Sims Valley 1,37.01,-91.85,NA
105,Austin,Austin,NA,Austin 1,37.16,-92.18,NA
106,Roby,Roby,NA,Roby 1,37.52,-92.12,NA
107,Ziske,Ziske,NA,Ziske 1,37.65,-91.51,NA
108,Turner,Turner,NA,Turner 1,37.65,-91.51,NA
109,Loggers,Loggers,NA,Loggers 1,37.39,-91.26,NA
110,Little_Prairie,Little Prairie,Towell,Little Prairie 1,37.95675138717223,-91.64941757,NA
111,Indian_Hills,Indian Hills,NA,Indian Hills 1,38.10486453410157,-91.45736103,NA
111-C2-0042,Indian_Hills,NA,NA,Indian_Hills Cove 2,38.10167433102795,-91.45444766,NA
111-C5-0095,Indian_Hills,NA,NA,Indian_Hills Cove 5,38.09350349739409,-91.45705743,NA
111-C8-0182,Indian_Hills,NA,NA,Indian_Hills Cove 8,38.08249110774808,-91.44741781,NA
111-DA-01-00,Indian_Hills,NA,NA,Indian_Hills Dam 1,38.10676914285714,-91.45852114,NA
111-DA-02-00,Indian_Hills,NA,NA,Indian_Hills Dam 2,38.10710944444445,-91.45781944,NA
111-DA-03-00,Indian_Hills,NA,NA,Indian_Hills Dam 3,38.10736063,-91.45710938,NA
111-DA-04-00,Indian_Hills,NA,NA,Indian_Hills Dam 4,38.10763148148149,-91.45633259,NA
111-DA-05-00,Indian_Hills,NA,NA,Indian_Hills Dam 5,38.10812888888889,-91.45456278,NA
111-DA-06-00,Indian_Hills,NA,NA,Indian_Hills Dam 6,38.106638181818184,-91.45396977,NA
111-DA-07-00,Indian_Hills,NA,NA,Indian_Hills Dam 7,38.106408139534885,-91.45453326,NA
