MULakeNumber,waterBody,Latitude_waterBody,Longitude_waterBody,Hylak_id,ecoregionID,EPA_L3NAME,waterbody_elevation,waterbody_area_km2,waterbody_perimeter_km,waterbody_elongation_ratio,watershed_area_km2,watershed_perimeter_km,watershed_elongation_ratio,landCover
109,Loggers,37.39,-91.26,NA,3,Ozark Highlands,299,0.132468765,2.505422777,0.4879,10.99735549,18.60822752,0.7724,forest
110,Little_Prairie,38,-91.69,1058375,3,Ozark Highlands,304,0.633402854,5.539861077,0.608,10.54904316,21.9119497,0.7917,forest
111,Indian_Hills,38.11,-91.46,112542,3,Ozark Highlands,256,1.999815275,17.37543267,0.3661,62.53188116,51.2501509,0.6821,mixed
112,Shayne,37.9,-90.64,1058490,3,Ozark Highlands,257,0.494771324,5.669722681,0.6295,3.348201411,10.61574006,0.7673,mixed
113,Pape_Concordia,38.93,-93.58,1057287,1,Central Irregular Plains,208,1.800759201,17.69547636,0.4789,35.55079214,41.95555371,0.6889,agriculture
114,Henry_Sever,40.01,-91.98,1056018,1,Central Irregular Plains,202,1.054978879,12.11118175,0.4395,14.13576694,22.64688205,0.715,agriculture
115,Hunnewell,39.71,-91.86,1056359,2,Interior River Valleys and Hills,197,1.617225657,22.35038074,0.4542,9.674286001,17.82705031,0.7807,agriculture
116,Jacomo,38.99,-94.31,112394,1,Central Irregular Plains,237,6.696384868,37.74553951,0.391,47.42464512,54.60837505,0.8383,mixed
117,Little_Dixie,38.91,-92.12,1057331,1,Central Irregular Plains,241,1.335356412,9.823053769,0.4429,15.83803727,28.74476581,0.6334,agriculture
118,Raintree,38.84,-94.38,1057406,1,Central Irregular Plains,275,1.658248123,17.65159292,0.4864,32.13977269,35.75943399,0.7805,mixed
119,Sterling_Price,39.4,-92.84,NA,1,Central Irregular Plains,206,0.151982313,2.014077414,0.5452,3.206542056,10.71704652,0.6764,agriculture
120,Winnebago,38.82,-94.36,1057422,1,Central Irregular Plains,270,1.814158419,18.5335027,0.4,53.59989766,63.93152971,0.6092,agriculture
121,Higginsville,39.06,-93.67,1057132,6,Western Corn Belt Plains,219,0.987538057,9.277952731,0.5295,20.40882938,28.1259586,0.715,agriculture
122,Lewistown,40.1,-91.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Shelbyville,39.81,-92.05,1056241,1,Central Irregular Plains,217,0.209724433,3.576285365,0.4356,7.791532402,20.46143611,0.5522,agriculture
124,Wyconda,40.4,-91.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Clarence_East,39.75,-92.23,NA,1,Central Irregular Plains,238,0.137241074,2.635349545,0.4077,2.685929871,10.68862854,0.6791,agriculture
128,Clarence_West,39.75,-92.24,NA,1,Central Irregular Plains,238,0.236157759,4.37781329,0.5179,1.824268608,7.571338226,0.796,agriculture
129,LaBelle_City_East,40.09,-91.9,1055940,1,Central Irregular Plains,204,0.730897983,9.172880379,0.3863,9.833022739,19.4068634,0.6158,agriculture
130,LaPlata_East,40.01,-92.43,1056012,1,Central Irregular Plains,259,0.615622994,7.164250214,0.4635,3.853759639,16.13142315,0.6225,agriculture
131,Hazel_Creek,40.3,-92.63,112111,1,Central Irregular Plains,243,3.60618607,28.62414954,0.4386,36.21622609,38.58281126,0.75,agriculture
132,Lancaster_City_South,40.52,-92.55,1055519,1,Central Irregular Plains,270,0.298101795,3.970452456,0.5054,3.486220589,9.587449422,0.7896,agriculture
133,Forest,40.17,-92.65,112141,1,Central Irregular Plains,226,4.028261163,36.62440085,0.36870000000000003,65.29724186,59.38485608,0.7148,forest
134,Jamesport_City,39.99,-93.81,NA,1,Central Irregular Plains,272,0.113702641,2.003875091,0.6064,6.098992877,13.50045372,0.7064,agriculture
135,Trenton_Upper_East,40.08,-93.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Green_City,40.26,-92.92,1055740,1,Central Irregular Plains,300,0.390443648,6.773200554,0.4702,6.598481636,16.04789787,0.5642,agriculture
139,Marceline_North,39.72,-92.92,1056344,1,Central Irregular Plains,239,0.463850311,5.335582784,0.3845,13.39105734,26.15608154,0.484,agriculture
140,Cameron_Century,39.76,-94.26,NA,1,Central Irregular Plains,283,0.14529614,2.402226105,0.4352,6.987055371,15.18452307,0.6787,agriculture
141,Showme,40.44,-92.22,1055598,1,Central Irregular Plains,219,1.767707417,18.59302556,0.4979,18.86990029,30.29303664,0.6679,agriculture
143,Bethany_South,40.29,-94.02,NA,1,Central Irregular Plains,269,0.120804022,1.970857274,0.644,1.500374976,6.315864301,0.8221,mixed
144,Pinewoods,36.92,-90.77,NA,3,Ozark Highlands,235,0.205939277,2.462809455,0.5666,0.995598773,5.006938476,0.806,forest
145,Mark_Twain,39.52,-91.65,9209,2,Interior River Valleys and Hills,159,137.6122023,804.0101858,0.3713,9861.198517,1486.717801,0.517,agriculture
146,Crane,37.42,-90.63,1058980,3,Ozark Highlands,246,0.702050068,6.46242143,0.5319,34.27278336,37.50914047,0.6228,forest
148,Blue_Springs,39.01,-94.34,112389,1,Central Irregular Plains,237,4.312821555,22.76161658,0.4258,88.30396709,66.72912282,0.7784,mixed
149,Lake_of_the_Ozarks,38.2,-92.62,797,3,Ozark Highlands,145,335.4952351,1912.66008,0.2036,7011.208407,1171.317695,0.6519,forest
150,Blind_Pony,39.03,-93.37,1057168,6,Western Corn Belt Plains,208,1.036381616,8.844511574,0.425,33.37879993,37.58743853,0.7835,agriculture
152,Lafayette,37.89,-90.59,1058494,3,Ozark Highlands,228,0.234174109,3.684712885,0.4669,3.170814295,9.845752277,0.7034,forest
155,Weatherby,39.23,-94.7,1056932,6,Western Corn Belt Plains,246,1.251687252,13.56600122,0.4062,19.44141954,25.4608411,0.6921,urban
157,Holden_City,38.76,-94.03,112429,1,Central Irregular Plains,243,1.900131984,12.77174597,0.5334,15.09525732,25.28174178,0.7033,agriculture
158,Amarugia_Highlands_WA,38.54,-94.43,NA,1,Central Irregular Plains,254,0.272248569,5.297017746,0.4826,6.218855582,13.3433066,0.7771,agriculture
159,Harmony_Mission_CA,38.07,-94.43,1058269,1,Central Irregular Plains,258,0.608439111,6.059789162,0.5021,10.28609696,22.12439118,0.7,agriculture
160,Four_Rivers,38.02,-94.34,1058354,1,Central Irregular Plains,222,0.671084807,5.243786755,0.418,9.778481137,23.01510906,0.5182,agriculture
161,Bushwacker,37.67,-94.41,1058711,1,Central Irregular Plains,249,0.980745901,8.558375582,0.4085,17.07461641,25.70917346,0.6228,agriculture
162,Maple_Leaf,38.99,-93.78,1057221,6,Western Corn Belt Plains,232,0.915371476,10.500857,0.4765,11.25001002,23.70385315,0.6675,agriculture
163,King,40.02,-94.44,1056008,1,Central Irregular Plains,279,1.410430261,8.167976425,0.5122,79.59316672,55.79139879,0.6909,agriculture
164,Elmwood,40.22,-93.12,1055770,1,Central Irregular Plains,255,1.368391135,12.46085441,0.3862,2.017593453,9.370531726,0.6429,mixed
165,Jackrabbit,38.89,-94.32,1057352,1,Central Irregular Plains,297,0.189709466,3.399406443,0.5832,2.045469541,10.06798887,0.7412,agriculture
166,Catclaw,38.89,-94.32,1057351,1,Central Irregular Plains,295,0.269748422,3.546518105,0.6582,2.609294383,13.08798467,0.7939,agriculture
167,Cottontail,38.88,-94.32,NA,1,Central Irregular Plains,292,0.159084232,2.982735357,0.5548,2.343941389,13.3534369,0.5626,agriculture
168,Nell,38.88,-94.32,NA,1,Central Irregular Plains,295,0.173087349,2.706604701,0.6594,2.166736969,7.947913435,0.7362,mixed
169,Gopher,38.87,-94.31,1057369,1,Central Irregular Plains,288,0.25828589,3.955385484,0.5299,2.077918365,11.3109318,0.5921,mixed
170,Coot,38.87,-94.34,NA,1,Central Irregular Plains,292,0.138700968,2.067487885,0.7103,1.878215676,7.678185076,0.6692,mixed
178,Daniel_Boone,39.79,-92.26,112214,1,Central Irregular Plains,216,1.97463077,17.51694623,0.367,65.76108873,46.64295955,0.7445,agriculture
